match_date,home_team_id,away_team_id,home_goals,away_goals,tournament,city,country,is_neutral_venue,is_friendly
2024-06-14,Germany,Scotland,5,1,UEFA Euro,Munich,Germany,False,False
2024-06-15,Hungary,Switzerland,1,3,UEFA Euro,Cologne,Germany,True,False
2024-06-15,Spain,Croatia,3,0,UEFA Euro,Berlin,Germany,True,False
2024-06-15,Italy,Albania,2,1,UEFA Euro,Dortmund,Germany,True,False
2024-06-16,Poland,Netherlands,1,2,UEFA Euro,Hamburg,Germany,True,False
2024-06-16,Slovenia,Denmark,1,1,UEFA Euro,Stuttgart,Germany,True,False
2024-06-16,Serbia,England,0,1,UEFA Euro,Gelsenkirchen,Germany,True,False
2024-06-17,Austria,France,0,1,UEFA Euro,Düsseldorf,Germany,True,False
2024-06-17,Romania,Ukraine,3,0,UEFA Euro,Munich,Germany,True,False
2024-06-17,Belgium,Slovakia,0,1,UEFA Euro,Frankfurt,Germany,True,False
2024-06-18,Turkey,Georgia,3,1,UEFA Euro,Dortmund,Germany,True,False
2024-06-18,Portugal,Czech Republic,2,1,UEFA Euro,Leipzig,Germany,True,False
2024-06-19,Croatia,Albania,2,2,UEFA Euro,Hamburg,Germany,True,False
2024-06-19,Scotland,Switzerland,1,1,UEFA Euro,Cologne,Germany,True,False
2024-06-19,Germany,Hungary,2,0,UEFA Euro,Stuttgart,Germany,False,False
2024-06-20,Spain,Italy,1,0,UEFA Euro,Gelsenkirchen,Germany,True,False
2024-06-20,Slovenia,Serbia,1,1,UEFA Euro,Munich,Germany,True,False
2024-06-20,Denmark,England,1,1,UEFA Euro,Frankfurt,Germany,True,False
2024-06-21,Slovakia,Ukraine,1,2,UEFA Euro,Düsseldorf,Germany,True,False
2024-06-21,Poland,Austria,1,3,UEFA Euro,Berlin,Germany,True,False
2024-06-21,Netherlands,France,0,0,UEFA Euro,Leipzig,Germany,True,False
2024-06-22,Belgium,Romania,2,0,UEFA Euro,Cologne,Germany,True,False
2024-06-22,Georgia,Czech Republic,1,1,UEFA Euro,Hamburg,Germany,True,False
2024-06-22,Turkey,Portugal,0,3,UEFA Euro,Dortmund,Germany,True,False
2024-06-23,Germany,Switzerland,1,1,UEFA Euro,Frankfurt,Germany,False,False
2024-06-23,Scotland,Hungary,0,1,UEFA Euro,Stuttgart,Germany,True,False
2024-06-24,Croatia,Italy,1,1,UEFA Euro,Leipzig,Germany,True,False
2024-06-24,Albania,Spain,0,1,UEFA Euro,Düsseldorf,Germany,True,False
2024-06-25,England,Slovenia,0,0,UEFA Euro,Cologne,Germany,True,False
2024-06-25,Denmark,Serbia,0,0,UEFA Euro,Munich,Germany,True,False
2024-06-25,Netherlands,Austria,2,3,UEFA Euro,Berlin,Germany,True,False
2024-06-25,France,Poland,1,1,UEFA Euro,Dortmund,Germany,True,False
2024-06-26,Czech Republic,Turkey,1,2,UEFA Euro,Hamburg,Germany,True,False
2024-06-26,Georgia,Portugal,2,0,UEFA Euro,Gelsenkirchen,Germany,True,False
2024-06-26,Ukraine,Belgium,0,0,UEFA Euro,Stuttgart,Germany,True,False
2024-06-26,Slovakia,Romania,1,1,UEFA Euro,Frankfurt,Germany,True,False
2024-06-29,Switzerland,Italy,2,0,UEFA Euro,Berlin,Germany,True,False
2024-06-29,Germany,Denmark,2,0,UEFA Euro,Dortmund,Germany,False,False
2024-06-30,England,Slovakia,2,1,UEFA Euro,Gelsenkirchen,Germany,True,False
2024-06-30,Spain,Georgia,4,1,UEFA Euro,Cologne,Germany,True,False
2024-07-01,France,Belgium,1,0,UEFA Euro,Düsseldorf,Germany,True,False
2024-07-01,Portugal,Slovenia,0,0,UEFA Euro,Frankfurt,Germany,True,False
2024-07-02,Romania,Netherlands,0,3,UEFA Euro,Munich,Germany,True,False
2024-07-02,Austria,Turkey,1,2,UEFA Euro,Leipzig,Germany,True,False
2024-07-05,Germany,Spain,1,2,UEFA Euro,Stuttgart,Germany,False,False
2024-07-05,Portugal,France,0,0,UEFA Euro,Hamburg,Germany,True,False
2024-07-06,England,Switzerland,1,1,UEFA Euro,Düsseldorf,Germany,True,False
2024-07-06,Netherlands,Turkey,2,1,UEFA Euro,Berlin,Germany,True,False
2024-07-09,Spain,France,2,1,UEFA Euro,Munich,Germany,True,False
2024-07-10,Netherlands,England,1,2,UEFA Euro,Dortmund,Germany,True,False
2024-07-14,Spain,England,2,1,UEFA Euro,Berlin,Germany,True,False
